node_name,community_label
1,0
55,0
205,0
272,0
494,0
779,0
894,0
3,4
28,4
147,4
407,4
674,4
884,4
27,3
63,3
173,3
202,4
327,4
353,4
429,4
441,4
492,10
545,4
32,7
440,7
624,7
797,7
920,7
34,5
151,5
277,5
502,5
866,5
45,1
48,1
79,1
335,1
496,1
601,1
765,1
46,0
117,0
196,0
257,0
268,0
170,0
252,0
883,0
61,7
125,7
70,6
101,6
132,6
240,6
425,6
447,6
72,4
857,0
80,10
120,10
285,10
468,8
85,1
190,1
213,1
214,1
603,1
605,2
92,8
845,8
119,6
122,6
343,6
364,0
265,0
465,0
587,0
488,10
255,6
124,9
471,9
970,9
248,11
325,7
491,2
622,7
960,7
134,1
388,1
184,4
38,5
201,5
452,5
634,5
642,5
691,5
694,11
753,5
869,5
156,11
159,5
165,0
498,0
1332,5
200,12
480,12
245,5
211,8
242,8
219,2
222,6
867,6
232,10
798,7
959,7
564,11
275,13
312,13
612,13
769,7
366,14
974,14
486,0
531,0
771,12
520,2
576,2
577,11
1401,5
1485,14
1228,5
1519,5
1594,5
1828,5
